sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,command_fork,command_hand
,0.00000,0.00000,0.00361,0.00000,0.00000,-32.98075,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00004,0.00224,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00006,0.00267,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00009,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00012,0.00369,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00016,0.00388,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00020,0.00157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00021,0.00235,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00023,0.00357,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00027,0.00282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,0.00000,0.00030,0.00376,-0.00296,-0.35190,0.00000,0.00000,0.00000,2.22780,0.94253
,0.00000,0.00034,0.00102,-0.00296,-0.35190,0.00000,0.00000,0.00000,0.57123,0.25705
,0.00000,0.00035,0.00851,-0.00296,-0.35037,0.15340,0.00000,0.00000,0.56144,0.25291
,0.00000,0.00043,0.00623,-0.00296,-0.34884,0.15340,0.00000,0.00000,0.55893,0.25178
,0.00000,0.00049,-0.01281,-0.00296,-0.34654,0.23007,0.00000,0.00000,0.55152,0.24858
,0.00000,0.00036,0.00023,-0.00373,-0.34500,0.15340,0.00000,0.00000,0.54775,0.24688
,0.00000,0.00037,-0.01346,-0.00373,-0.34500,0.00000,0.00000,0.00000,0.55868,0.25140
,0.00000,0.00023,0.00035,-0.00449,-0.34423,0.07672,0.00000,0.00000,0.54888,0.24726
,0.00000,0.00024,-0.01319,-0.00449,-0.34423,0.00000,0.00000,0.00000,0.55616,0.25027
,0.00000,0.00010,0.00646,-0.00526,-0.34423,0.00000,0.00000,0.00000,0.55127,0.24820
,0.00000,0.00017,0.00951,-0.00526,-0.34347,0.07668,0.00000,0.00000,0.55001,0.24764
,0.00000,0.00026,0.02591,-0.00603,-0.34347,0.00000,0.00000,0.00000,0.54876,0.24707
,0.00000,0.00052,0.00766,-0.00679,-0.34347,0.00000,0.00000,0.00000,0.54750,0.24651
,0.00000,0.00060,0.00574,-0.00679,-0.34347,0.00000,0.00000,0.00000,0.55114,0.24801
,0.00000,0.00066,-0.00785,-0.00756,-0.34347,0.00000,0.00000,0.00000,0.54625,0.24594
,0.00000,0.00058,-0.01265,-0.00756,-0.34347,0.00000,0.00000,0.00000,0.54989,0.24745
,0.00000,0.00045,0.01029,-0.00833,-0.34347,0.00000,0.00000,0.00000,0.54499,0.24538
,0.00000,0.00055,0.01298,-0.00833,-0.34347,0.00000,0.00000,0.00000,0.54863,0.24688
,0.00000,0.00068,0.02820,-0.00833,-0.34347,0.00000,0.00000,0.00000,0.54863,0.24688
,0.00000,0.00097,0.01145,-0.00910,-0.34347,0.00000,0.00000,0.00000,0.54373,0.24481
,0.00000,0.00108,-0.00207,-0.00910,-0.34347,0.00000,0.00000,0.00000,0.54738,0.24632
,0.00000,0.00106,-0.01119,-0.00986,-0.34347,0.00000,0.00000,0.00000,0.54248,0.24425
,0.00000,0.00095,-0.01406,-0.00986,-0.34347,0.00000,0.00000,0.00000,0.54612,0.24575
,0.00000,0.00081,-0.00183,-0.00986,-0.34347,0.00000,0.00000,0.00000,0.54612,0.24575
,0.00000,0.00079,-0.00642,-0.01063,-0.34347,0.00000,0.00000,0.00000,0.54122,0.24368
,0.00000,0.00072,0.00361,-0.01063,-0.34347,0.00000,0.00000,0.00000,0.54486,0.24519
,0.00000,0.00076,-0.00242,-0.01063,-0.34347,0.00000,0.00000,0.00000,0.54486,0.24519
,0.00000,0.00074,-0.00101,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.53997,0.24312
,0.00000,0.00073,-0.00494,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00068,0.00109,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00069,0.00163,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00070,0.01061,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.53871,0.24255
,0.00000,0.00081,0.00545,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00086,0.00576,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00092,0.00294,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00095,0.00454,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00099,0.00603,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00105,0.00701,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00112,0.00854,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00121,0.00522,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00126,0.00639,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00132,0.00666,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00139,0.00628,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00145,0.00541,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00151,0.00803,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00159,0.00705,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00166,0.01061,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00176,0.01242,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00189,0.00885,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00197,0.00600,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00203,0.00619,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00209,0.00807,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00217,0.00478,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00222,0.00145,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00224,0.00181,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00225,-0.00004,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00225,0.00145,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00227,0.00251,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00229,-0.00101,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00228,0.00244,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00230,0.00286,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00233,0.00332,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00236,-0.00110,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00235,-0.00035,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00235,0.00298,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00238,0.00338,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00241,0.00067,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00241,0.00208,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00243,0.00122,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00244,0.00243,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00247,0.00604,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00253,0.00404,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00257,0.00541,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00262,0.00647,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00268,0.00670,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00275,0.00862,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00283,0.00780,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00291,0.00682,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00298,0.00893,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00307,0.00940,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00316,0.00838,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00324,0.00674,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00331,0.00889,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00339,0.00784,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00347,0.00658,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00353,0.00596,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00359,0.01038,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00369,0.00969,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00379,0.01038,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00389,0.00819,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00397,0.01011,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00407,0.00701,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00414,0.00713,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.53746,0.24199
,0.00000,0.00421,0.00823,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00429,0.00803,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00436,0.00886,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00445,0.00689,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00452,0.00850,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00460,0.00886,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00468,0.01226,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00480,0.00791,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00488,0.00757,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00495,0.01184,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00507,0.01109,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00518,0.01030,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00528,0.01049,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00538,0.00474,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00542,0.00795,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00550,0.00689,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00556,0.00615,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00562,0.00788,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00570,0.00576,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00575,0.00749,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00582,0.00166,-0.01293,-0.34347,0.00000,0.00000,0.00000,0.54110,0.24349
,0.00000,0.00583,0.00204,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54599,0.24557
,0.00000,0.00585,0.00004,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00585,-0.00094,-0.01216,-0.34347,0.00000,0.00000,0.00000,0.54235,0.24406
,0.00000,0.00583,-0.00105,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54725,0.24613
,0.00000,0.00582,-0.00132,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00580,-0.00161,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00578,-0.00282,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00575,-0.00301,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00572,-0.00270,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00568,-0.00521,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00563,-0.00364,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00559,-0.00641,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00552,-0.00584,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00546,-0.00646,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00539,-0.00818,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00530,-0.00717,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00523,-0.00592,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00516,-0.00814,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
,0.00000,0.00508,-0.00869,-0.01140,-0.34347,0.00000,0.00000,0.00000,0.54361,0.24462
