speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_hand
0,0.00,0.00014,0.00107,0.00,-0.01,-0.01,-0.00,0.00107,0.00,0.00338,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00015,0.00110,0.00,-0.01,-0.01,-0.00,0.00110,0.00,0.00244,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00015,0.00113,0.00,-0.01,-0.02,-0.00,0.00113,0.00,0.00369,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00016,0.00116,0.00,-0.01,-0.01,-0.00,0.00116,0.00,0.00365,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00016,0.00120,0.01,-0.02,-0.02,-0.00,0.00120,0.00,0.00709,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00017,0.00127,0.00,-0.01,-0.01,-0.00,0.00127,0.00,0.00259,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00017,0.00130,0.00,-0.01,-0.01,-0.00,0.00130,0.00,0.00365,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00018,0.00133,0.00,-0.01,-0.01,-0.00,0.00133,0.00,0.00095,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00018,0.00134,0.00,-0.01,-0.01,-0.00,0.00134,0.00,0.00429,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00019,0.00138,0.00,-0.01,-0.02,-0.00,0.00138,0.00,0.00463,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00019,0.00143,0.00,-0.01,-0.01,-0.00,0.00143,0.00,0.00228,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00020,0.00145,0.00,-0.01,-0.02,-0.00,0.00145,0.00,0.00275,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00020,0.00148,0.00,-0.02,-0.02,-0.00,0.00148,0.00,0.00419,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00021,0.00152,0.00,-0.02,-0.02,-0.00,0.00152,0.00,0.00411,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00021,0.00156,0.00,-0.02,-0.02,-0.00,0.00156,0.00,0.00192,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00022,0.00158,0.01,-0.01,-0.01,-0.00,0.00158,0.00,0.00663,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00022,0.00165,0.01,-0.01,-0.01,0.00,0.00165,0.00,0.00529,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00023,0.00170,0.00,-0.01,-0.01,-0.00,0.00170,0.00,0.00338,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00023,0.00173,0.00,-0.01,-0.01,-0.00,0.00173,0.00,0.00334,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00024,0.00177,0.00,-0.01,-0.01,-0.00,0.00177,0.00,0.00447,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00024,0.00181,0.00,-0.01,-0.02,-0.00,0.00181,0.00,0.00353,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00025,0.00184,0.00,-0.01,-0.01,-0.00,0.00184,0.00,0.00338,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00025,0.00188,0.00,-0.02,-0.01,-0.00,0.00188,0.00,0.00493,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00026,0.00193,0.01,-0.02,-0.01,-0.00,0.00193,0.00,0.00818,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00026,0.00201,0.00,-0.02,-0.01,-0.00,0.00201,0.00,0.00356,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00027,0.00204,0.00,-0.01,-0.01,-0.00,0.00204,0.00,0.00040,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00027,0.00205,0.00,-0.01,-0.01,-0.00,0.00205,0.00,0.00349,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00028,0.00208,0.00,-0.01,-0.01,0.00,0.00208,0.00,0.00287,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00028,0.00211,0.01,-0.01,-0.02,-0.00,0.00211,0.00,0.00580,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00029,0.00217,0.01,-0.01,-0.02,-0.00,0.00217,0.00,0.00611,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00029,0.00223,0.01,-0.02,-0.02,-0.00,0.00223,0.00,0.00869,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00030,0.00231,0.01,-0.02,-0.02,-0.00,0.00231,0.00,0.00630,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
