sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
,0.00000,0.00000,-0.01743,0.00000,0.00000,-0.86256,0.00000,0.00000,0.24009,0.28366,0.00000,0.00000
,0.00000,-0.00017,-0.01626,0.00000,0.00000,0.00000,0.00000,0.00000,0.17271,0.21978,0.00000,0.00000
,0.00000,-0.00034,-0.01528,0.00000,0.00000,0.00000,0.00000,0.00000,0.22057,0.21612,0.00000,0.00000
,0.00000,-0.00049,-0.01622,0.00000,0.00000,0.00000,0.00000,0.00000,0.19630,0.21546,0.00000,0.00000
,-0.45789,-0.00065,-0.01766,0.00000,0.00000,0.00000,0.00000,0.00000,0.26454,0.16404,0.00000,0.00000
,-0.38157,-0.00083,-0.01633,0.00000,0.00000,0.00000,0.00000,0.00000,0.25792,0.22652,0.00000,0.00000
,-0.32706,-0.00099,-0.01536,0.00000,0.00000,0.00000,0.00000,0.00000,0.19372,0.24421,0.00000,0.00000
,-0.28618,-0.00115,-0.01641,0.00000,0.00000,0.00000,0.00000,0.00000,0.18823,0.23939,0.00000,0.00000
,-0.25438,-0.00131,-0.01374,0.00000,0.00000,0.00000,0.00000,0.00000,0.18984,0.26833,0.00000,0.00000
,-0.22894,-0.00145,-0.01265,0.00000,0.00000,0.00000,0.00000,0.00000,0.11693,0.25230,0.00000,0.00000
,-0.20813,-0.00157,-0.01347,0.00701,-0.00920,0.00000,0.00000,0.00000,0.13659,0.22880,0.10352,0.04380
,-0.19079,-0.00171,-0.01930,0.00701,-0.00920,0.00000,0.00000,0.00000,0.12572,0.23322,0.02654,0.01194
,-0.17611,-0.00190,-0.01605,0.00701,-0.00920,0.00000,0.00000,0.00000,0.12985,0.27166,0.02654,0.01194
,-0.16353,-0.00206,-0.01500,0.00701,-0.00920,0.00000,0.00000,0.00000,0.03204,0.32243,0.02654,0.01194
,-0.15263,-0.00221,-0.01684,0.00701,-0.00920,0.00000,0.00000,0.00000,0.07288,0.40973,0.02654,0.01194
,-0.14309,-0.00238,-0.01057,0.00701,-0.00920,0.00000,0.00000,0.00000,0.05357,0.34689,0.02654,0.01194
,-0.13467,-0.00248,-0.01183,0.00701,-0.00920,0.00000,0.00000,0.00000,0.03807,0.34171,0.02654,0.01194
,-0.12719,-0.00260,-0.01096,0.00701,-0.00920,0.00000,0.00000,0.00000,0.05277,0.29886,0.02654,0.01194
,-0.12050,-0.00271,-0.01587,0.00701,-0.00920,0.00000,0.00000,0.00000,0.00082,0.29295,0.02654,0.01194
,-0.11447,-0.00287,-0.01214,0.00701,-0.00920,0.00000,0.00000,0.00000,0.12022,0.30995,0.02654,0.01194
,-0.10902,-0.00299,-0.01116,0.00701,-0.00920,0.00000,0.00000,0.00000,0.14727,0.38266,0.02654,0.01194
,-0.10407,-0.00310,-0.00666,0.00701,-0.00920,0.00000,0.00000,0.00000,0.09251,0.37180,0.02654,0.01194
,-0.09954,-0.00317,-0.00756,0.00701,-0.00920,0.00000,0.00000,0.00000,0.08698,0.33811,0.02654,0.01194
,-0.09539,-0.00324,-0.00690,0.00701,-0.00920,0.00000,0.00000,0.00000,0.17063,0.23411,0.02654,0.01194
,-0.09158,-0.00331,-0.00912,0.00701,-0.00920,0.00000,0.00000,0.00000,0.02607,0.22136,0.02654,0.01194
,-0.08806,-0.00340,-0.00556,0.00701,-0.00920,0.00000,0.00000,0.00000,0.09778,0.15085,0.02654,0.01194
,-0.08479,-0.00346,-0.00524,0.00701,-0.00920,0.00000,0.00000,0.00000,0.07522,0.25131,0.02654,0.01194
,-0.08177,-0.00351,-0.00493,0.00701,-0.00920,0.00000,0.00000,0.00000,0.09561,0.23254,0.02654,0.01194
,-0.07895,-0.00356,-0.00411,0.00701,-0.00920,0.00000,0.00000,0.00000,0.11754,0.31007,0.02654,0.01194
,-0.07631,-0.00360,-0.00313,0.00701,-0.00920,0.00000,0.00000,0.00000,0.13379,0.33440,0.02654,0.01194
,-0.07385,-0.00363,-0.00074,0.00701,-0.00920,0.00000,0.00000,0.00000,0.11856,0.26669,0.02654,0.01194
,-0.07154,-0.00364,-0.00184,0.00701,-0.00920,0.00000,0.00000,0.00000,0.08083,0.34275,0.02654,0.01194
,-0.06938,-0.00366,-0.00274,0.00701,-0.00920,0.00000,0.00000,0.00000,0.15498,0.34909,0.02654,0.01194
,-0.06734,-0.00368,-0.00251,0.00701,-0.00920,0.00000,0.00000,0.00000,0.09032,0.41006,0.02654,0.01194
,-0.06541,-0.00371,-0.00333,0.00701,-0.00920,0.00000,0.00000,0.00000,0.05940,0.34692,0.02654,0.01194
,-0.06360,-0.00374,0.00169,0.00701,-0.00920,0.00000,0.00000,0.00000,0.11483,0.33375,0.02654,0.01194
,-0.06188,-0.00372,0.00184,0.00701,-0.00920,0.00000,0.00000,0.00000,0.05135,0.38527,0.02654,0.01194
,-0.06025,-0.00370,0.00106,0.00701,-0.00920,0.00000,0.00000,0.00000,0.10399,0.30005,0.02654,0.01194
,-0.05870,-0.00369,-0.00000,0.00701,-0.00920,0.00000,0.00000,0.00000,0.13081,0.22853,0.02654,0.01194
,-0.05724,-0.00369,0.00196,0.00701,-0.00920,0.00000,0.00000,0.00000,0.08531,0.18431,0.02654,0.01194
,-0.05584,-0.00367,0.00067,0.00701,-0.00920,0.00000,0.00000,0.00000,0.12081,0.14663,0.02654,0.01194
,-0.05451,-0.00366,0.00192,0.00701,-0.00920,0.00000,0.00000,0.00000,0.15269,0.16665,0.02654,0.01194
