speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_fork
0,0.00,0.00015,0.00011,0.00,-0.02,-0.01,0.00,0.00011,0.00,0.00000,3164,6010,-0.27524,-0.02670,-0.61353,0.00,,16973,16384,-0.70
0,0.00,0.00015,0.00011,-0.00,-0.02,-0.02,-0.00,0.00011,0.00,-0.00012,3164,6019,-0.27524,-0.03360,-0.69032,0.00,,16973,16384,-0.70
0,0.00,0.00016,0.00011,0.00,-0.02,-0.02,-0.00,0.00011,0.00,0.00065,3164,6029,-0.27524,-0.04127,-0.76707,0.00,,16973,16384,-0.70
0,0.00,0.00016,0.00011,-0.00,-0.02,-0.02,-0.00,0.00011,0.00,-0.00400,3164,6038,-0.27524,-0.04818,-0.69020,0.00,,16973,16384,-0.70
0,0.00,0.00017,0.00007,-0.00,-0.02,-0.01,-0.00,0.00007,0.00,-0.00275,3164,6047,-0.27524,-0.05508,-0.69039,0.00,,16973,16384,-0.70
0,0.00,0.00017,0.00004,-0.00,-0.02,-0.01,0.00,0.00004,0.00,-0.00298,3164,6057,-0.27524,-0.06275,-0.76699,0.00,,16973,16384,-0.70
0,0.00,0.00018,0.00001,-0.00,-0.02,-0.01,0.00,0.00001,0.00,-0.00113,3164,6068,-0.27524,-0.07119,-0.84367,0.00,,16973,16384,-0.70
0,0.00,0.00018,0.00000,-0.01,-0.02,-0.01,0.00,0.00000,0.00,-0.00819,3164,6078,-0.27524,-0.07886,-0.76707,0.00,,16973,16384,-0.70
0,0.00,0.00019,-0.00008,-0.00,-0.02,-0.01,0.00,-0.00008,0.00,-0.00141,3164,6089,-0.27524,-0.08729,-0.84358,0.00,,16973,16384,-0.70
0,0.00,0.00019,-0.00009,0.00,-0.02,-0.02,0.00,-0.00009,0.00,0.00011,3164,6100,-0.27524,-0.09573,-0.84372,0.00,,16973,16384,-0.70
0,0.00,0.00020,-0.00009,-0.00,-0.02,-0.02,-0.00,-0.00009,0.00,-0.00439,3164,6111,-0.27524,-0.10417,-0.84367,0.00,,16973,16384,-0.70
0,0.00,0.00020,-0.00014,0.00,-0.02,-0.02,0.00,-0.00014,0.00,0.00211,3164,6122,-0.27524,-0.11260,-0.84372,0.00,,16973,16384,-0.70
0,0.00,0.00021,-0.00011,0.00,-0.02,-0.01,-0.00,-0.00011,0.00,0.00235,3164,6134,-0.27524,-0.12181,-0.92048,0.00,,16973,16384,-0.70
0,0.00,0.00021,-0.00009,0.00,-0.02,-0.01,0.00,-0.00009,-0.00,0.00093,3164,6146,-0.27524,-0.13101,-0.92039,0.00,,16973,16384,-0.70
0,0.00,0.00022,-0.00008,-0.00,-0.02,-0.02,-0.00,-0.00008,-0.00,-0.00228,3164,6158,-0.27524,-0.14022,-0.92048,0.00,,16973,16384,-0.70
0,0.00,0.00022,-0.00010,0.00,-0.02,-0.02,0.00,-0.00010,-0.00,0.00096,3164,6170,-0.27524,-0.14942,-0.92039,0.00,,16973,16384,-0.70
0,0.00,0.00023,-0.00009,0.00,-0.02,-0.02,-0.00,-0.00009,-0.00,0.00046,3164,6182,-0.27524,-0.15862,-0.92039,0.00,,16973,16384,-0.70
0,0.00,0.00023,-0.00009,0.00,-0.02,-0.01,-0.00,-0.00009,-0.00,0.00149,3164,6194,-0.27524,-0.16783,-0.92034,0.00,,16973,16384,-0.70
0,0.00,0.00024,-0.00008,-0.00,-0.02,-0.01,-0.00,-0.00008,-0.00,-0.00036,3164,6206,-0.27524,-0.17703,-0.92030,0.00,,16973,16384,-0.70
0,0.00,0.00024,-0.00008,0.00,-0.02,-0.01,-0.00,-0.00008,-0.00,0.00161,3164,6219,-0.27524,-0.18700,-0.99711,0.00,,16973,16384,-0.70
0,0.00,0.00025,-0.00006,-0.00,-0.02,-0.02,-0.00,-0.00006,-0.00,-0.00189,3164,6234,-0.27524,-0.19851,-1.15047,0.00,,16973,16384,-0.70
0,0.00,0.00025,-0.00008,-0.00,-0.02,-0.02,-0.00,-0.00008,-0.00,-0.00302,3164,6251,-0.27524,-0.21155,-1.30391,0.00,,15785,16384,0.71
0,0.00,0.00026,-0.00011,0.00,-0.02,-0.01,-0.00,-0.00011,-0.00,0.00126,3164,6268,-0.27524,-0.22458,-1.30399,0.00,,15785,16384,0.71
0,0.00,0.00026,-0.00010,0.00,-0.02,-0.01,0.00,-0.00010,-0.00,0.00216,3164,6285,-0.27524,-0.23762,-1.30378,0.00,,15785,16384,0.71
0,0.00,0.00027,-0.00008,-0.00,-0.02,-0.02,-0.00,-0.00008,-0.00,-0.00228,3164,6301,-0.27524,-0.24990,-1.22719,0.00,,15785,16384,0.71
0,0.00,0.00027,-0.00010,0.00,-0.02,-0.02,0.00,-0.00010,-0.00,0.00069,3164,6317,-0.27524,-0.26217,-1.22714,0.00,,15785,16384,0.71
0,0.00,0.00028,-0.00009,0.00,-0.02,-0.02,0.00,-0.00009,-0.00,0.00190,3164,6330,-0.27524,-0.27214,-0.99711,0.00,,15785,16384,0.71
0,0.00,0.00028,-0.00007,0.00,-0.02,-0.02,0.00,-0.00007,-0.00,0.00409,3164,6342,-0.27524,-0.28134,-0.92048,0.00,,15785,16384,0.71
0,0.00,0.00029,-0.00003,0.00,-0.02,-0.01,0.00,-0.00003,-0.00,0.00410,3164,6351,-0.27524,-0.28824,-0.69027,0.00,,15785,16384,0.71
0,0.00,0.00029,0.00001,0.01,-0.02,-0.02,0.00,0.00001,-0.00,0.00704,3164,6357,-0.27524,-0.29285,-0.46015,0.00,,15785,16384,0.71
0,0.00,0.00030,0.00008,-0.00,-0.02,-0.04,0.00,0.00008,-0.00,-0.00077,3164,6359,-0.27524,-0.29438,-0.15340,0.00,,15785,16384,0.71
0,0.00,0.00030,0.00007,0.00,-0.02,-0.03,0.00,0.00007,-0.00,0.00092,3164,6361,-0.27524,-0.29591,-0.15341,0.00,,15785,16384,0.71
0,0.00,0.00031,0.00008,-0.00,-0.02,-0.02,-0.00,0.00008,-0.00,-0.00228,3164,6361,-0.27524,-0.29591,0.00000,0.00,,15785,16384,0.71
0,0.00,0.00031,0.00006,-0.01,-0.02,0.00,-0.00,0.00006,-0.00,-0.00619,3164,6361,-0.27524,-0.29591,0.00000,0.00,,15785,16384,0.71
0,0.00,0.00032,-0.00001,-0.01,-0.02,0.02,0.00,-0.00001,-0.00,-0.00613,3164,6362,-0.27524,-0.29668,-0.07672,0.00,,15785,16384,0.71
0,0.00,0.00032,-0.00007,-0.00,-0.02,0.00,0.00,-0.00007,-0.00,-0.00480,3164,6362,-0.27524,-0.29668,0.00000,0.00,,15785,16384,0.71
0,0.00,0.00033,-0.00011,-0.00,-0.01,-0.02,-0.00,-0.00011,-0.00,-0.00344,3164,6361,-0.27524,-0.29591,0.07672,0.00,,15785,16384,0.71
0,0.00,0.00033,-0.00015,-0.00,-0.02,-0.02,-0.00,-0.00015,-0.00,-0.00083,3164,6357,-0.27524,-0.29285,0.30680,0.00,,15785,16384,0.71
0,0.00,0.00034,-0.00016,0.01,-0.02,-0.00,0.00,-0.00016,-0.00,0.00557,3164,6354,-0.27524,-0.29055,0.23010,0.00,,15785,16384,0.71
0,0.00,0.00034,-0.00010,0.00,-0.02,0.00,-0.00,-0.00010,-0.00,0.00004,3164,6350,-0.27524,-0.28748,0.30677,0.00,,15785,16384,0.71
0,0.00,0.00035,-0.00010,0.01,-0.02,-0.01,-0.00,-0.00010,-0.00,0.00544,3164,6346,-0.27524,-0.28441,0.30680,0.00,,15785,16384,0.71
0,0.00,0.00035,-0.00005,0.00,-0.02,-0.03,0.00,-0.00005,-0.00,0.00420,3164,6340,-0.27524,-0.27981,0.46020,0.00,,15785,16384,0.71
0,0.00,0.00036,-0.00000,0.00,-0.03,-0.05,0.00,-0.00000,-0.00,0.00051,3164,6334,-0.27524,-0.27521,0.46024,0.00,,15785,16384,0.71
0,0.00,0.00036,0.00000,0.01,-0.03,-0.03,0.00,0.00000,-0.00,0.00581,3164,6328,-0.27524,-0.27060,0.46015,0.00,,15785,16384,0.71
0,0.00,0.00037,0.00006,0.01,-0.02,-0.01,0.00,0.00006,-0.00,0.00685,3164,6321,-0.27524,-0.26523,0.53692,0.00,,15785,16384,0.71
0,0.00,0.00037,0.00013,0.01,-0.02,-0.01,0.00,0.00013,-0.00,0.00602,3164,6315,-0.27524,-0.26063,0.46024,0.00,,15785,16384,0.71
0,0.00,0.00038,0.00019,0.00,-0.02,-0.03,0.00,0.00019,-0.00,0.00433,3164,6308,-0.27524,-0.25526,0.53687,0.00,,15785,16384,0.71
0,0.00,0.00038,0.00023,0.00,-0.02,-0.04,0.00,0.00023,-0.00,0.00425,3164,6300,-0.27524,-0.24913,0.61366,0.00,,15785,16384,0.71
