speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,sil_command,post_fork_pwm,post_hand_pwm
1,0.03,0.00018,0.02688,0.06549,-0.02,-0.01,-0.02,0.03,0.00,0.06549,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00018,0.02753,0.06407,-0.02,-0.03,-0.00,0.03,0.00,0.06407,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00019,0.02816,0.07186,-0.02,-0.03,-0.00,0.03,0.00,0.07186,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00019,0.02888,0.07308,-0.02,-0.02,-0.00,0.03,0.00,0.07308,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00020,0.02960,0.07223,-0.02,-0.01,-0.01,0.03,0.00,0.07223,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00020,0.03032,0.06635,-0.02,-0.01,0.02,0.03,0.00,0.06635,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00021,0.03098,0.05777,-0.02,-0.01,-0.01,0.03,0.00,0.05777,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00021,0.03155,0.05273,-0.02,-0.00,0.00,0.03,0.00,0.05273,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00022,0.03207,0.05477,-0.02,-0.00,0.01,0.03,0.00,0.05477,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00022,0.03261,0.05264,-0.02,-0.01,-0.00,0.03,0.00,0.05264,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00023,0.03313,0.05209,-0.02,-0.01,0.02,0.03,0.00,0.05209,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00023,0.03365,0.05472,-0.02,-0.01,0.03,0.03,0.00,0.05472,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00024,0.03419,0.05006,-0.02,-0.02,-0.01,0.03,0.00,0.05006,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00024,0.03468,0.04822,-0.02,-0.01,0.01,0.03,0.00,0.04822,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00025,0.03516,0.04230,-0.02,-0.01,-0.01,0.04,0.00,0.04230,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00025,0.03557,0.04202,-0.02,-0.02,-0.00,0.04,0.00,0.04202,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00026,0.03598,0.03983,-0.02,-0.02,-0.01,0.04,0.00,0.03983,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00026,0.03637,0.04123,-0.02,-0.02,0.00,0.04,0.00,0.04123,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00027,0.03677,0.04168,-0.02,-0.02,-0.01,0.04,0.00,0.04167,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00027,0.03717,0.04073,-0.02,-0.02,-0.01,0.04,0.00,0.04073,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00028,0.03757,0.03470,-0.02,-0.01,-0.02,0.04,0.00,0.03470,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00028,0.03790,0.03141,-0.02,-0.01,-0.03,0.04,0.00,0.03141,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00029,0.03820,0.02731,-0.02,-0.00,0.02,0.04,0.00,0.02731,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00029,0.03846,0.02856,-0.02,-0.01,0.01,0.04,0.00,0.02856,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00030,0.03874,0.02875,-0.02,-0.01,0.01,0.04,0.00,0.02875,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00030,0.03902,0.02883,-0.02,-0.01,0.04,0.04,0.00,0.02883,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00031,0.03931,0.02848,-0.02,-0.02,-0.02,0.04,0.00,0.02847,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00031,0.03957,0.02585,-0.02,-0.01,-0.05,0.04,0.00,0.02585,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00032,0.03981,0.02397,-0.02,-0.01,-0.02,0.04,0.00,0.02397,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00032,0.04003,0.02087,-0.02,-0.01,-0.01,0.04,0.00,0.02087,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00033,0.04022,0.02100,-0.02,-0.02,-0.02,0.04,0.00,0.02099,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00033,0.04041,0.02100,-0.02,-0.02,-0.02,0.04,0.00,0.02099,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00034,0.04060,0.02263,-0.02,-0.02,0.01,0.04,0.00,0.02263,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00034,0.04081,0.01605,-0.02,-0.02,-0.01,0.04,0.00,0.01605,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00035,0.04096,0.01786,-0.02,-0.02,-0.01,0.04,0.00,0.01786,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00035,0.04112,0.01363,-0.02,-0.02,-0.01,0.04,0.00,0.01363,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00036,0.04123,0.01665,-0.02,-0.02,-0.02,0.04,0.00,0.01665,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00036,0.04138,0.01320,-0.02,-0.01,-0.03,0.04,0.00,0.01320,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00037,0.04148,0.01316,-0.02,-0.01,-0.03,0.04,0.00,0.01316,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00037,0.04159,0.01297,-0.02,-0.01,-0.05,0.04,0.00,0.01296,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00038,0.04168,0.01328,-0.02,-0.01,-0.03,0.04,0.00,0.01327,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00038,0.04179,0.01101,-0.02,-0.01,-0.04,0.04,0.00,0.01101,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00039,0.04187,0.01347,-0.02,-0.01,-0.01,0.04,0.00,0.01347,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00039,0.04198,0.01070,-0.01,-0.01,-0.05,0.04,0.00,0.01069,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00040,0.04205,0.01007,-0.02,-0.01,-0.03,0.04,0.00,0.01006,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00040,0.04213,0.01343,-0.02,-0.01,-0.02,0.04,0.00,0.01343,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00041,0.04223,0.01296,-0.02,-0.02,-0.01,0.04,0.00,0.01296,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00041,0.04234,0.01390,-0.02,-0.02,-0.01,0.04,0.00,0.01390,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00042,0.04246,0.01567,-0.02,-0.02,-0.02,0.04,0.00,0.01566,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00042,0.04259,0.01140,-0.02,-0.01,-0.02,0.04,0.00,0.01139,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00043,0.04268,0.00967,-0.02,-0.02,-0.01,0.04,0.00,0.00967,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00043,0.04275,0.01155,-0.02,-0.02,-0.02,0.04,0.00,0.01155,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00044,0.04284,0.01116,-0.02,-0.01,-0.02,0.04,0.00,0.01116,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00044,0.04292,0.01066,-0.02,-0.01,0.05,0.04,0.00,0.01065,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00045,0.04303,0.01218,-0.02,-0.01,-0.03,0.04,0.00,0.01218,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00045,0.04312,0.01018,-0.02,-0.01,-0.01,0.04,0.00,0.01017,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00046,0.04320,0.01112,-0.02,-0.01,-0.02,0.04,0.00,0.01111,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00046,0.04328,0.01273,-0.02,-0.01,0.04,0.04,0.00,0.01273,3085,5998,-0.35,-0.10,0.00,,16731,16540
