hand_angle, fork_angle, lean_angle, fork_rate, lean_rate, hand_torque, bike_speed, command_fork, command_hand 
-19.47,-9.28,270608.22,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,274122.78,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,277637.72,0.00,0.04,2.00,0.00,-0.82,-0.37
-19.47,-9.28,281152.72,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,284668.06,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,288183.38,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,291698.59,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,295213.94,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,298729.38,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,302244.53,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,305759.78,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,309275.00,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,312790.25,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,316305.53,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.32,319820.81,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,323336.09,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,326851.38,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,330366.63,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,333881.81,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,337397.09,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,340912.34,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,344427.69,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,347942.94,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.32,351458.06,0.00,0.04,0.00,0.00,-1.35,-0.61
-19.47,-9.52,354973.22,-4.40,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,358488.06,0.00,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,362003.19,0.00,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,365518.47,0.00,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,369033.59,0.00,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,372548.66,0.00,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,376063.84,0.00,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,379578.94,0.00,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,383093.97,0.00,0.04,0.00,0.00,-1.98,-0.89
-19.47,-9.58,386608.84,0.00,0.04,0.00,0.00,-1.98,-0.89
-17.23,-11.43,390124.22,-17.58,0.04,0.00,0.00,-1.96,-0.89
-15.64,-11.78,393639.19,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-11.78,397154.38,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-11.78,400669.44,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-11.78,404184.47,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-11.78,407699.47,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-11.78,411214.63,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-11.78,414729.69,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-11.78,418244.59,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-11.78,421759.50,0.00,0.04,0.00,0.00,-1.55,-0.70
-15.64,-12.42,425274.88,-4.39,0.04,0.00,0.00,-2.53,-1.14
-15.64,-12.53,428789.88,0.00,0.04,0.00,0.00,-2.49,-1.12
-15.64,-12.53,432305.16,0.00,0.04,0.00,0.00,-2.49,-1.12
-15.64,-12.53,435820.28,0.00,0.04,0.00,0.00,-2.49,-1.12
-15.64,-12.53,439335.44,0.00,0.04,0.00,0.00,-2.49,-1.12
-15.60,-12.53,442850.47,0.00,0.04,0.00,0.00,-2.46,-1.11
-15.60,-12.53,446365.63,0.00,0.04,0.00,0.00,-2.46,-1.11
-15.60,-12.53,449880.91,0.00,0.04,0.00,0.00,-2.46,-1.11
-15.60,-12.53,453395.75,0.00,0.04,0.00,0.00,-2.46,-1.11
-15.60,-12.53,456910.97,0.00,0.04,0.00,0.00,-2.46,-1.11
-14.33,-13.79,460426.00,17.58,0.04,0.00,0.00,-1.58,-0.69
-14.33,-13.72,463941.41,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,467456.50,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,470971.66,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,474486.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,478001.97,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,481517.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,485032.50,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,488547.69,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,492062.78,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,495577.91,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,499093.06,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,502608.19,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,506123.47,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,509638.63,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,513153.78,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,516669.03,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,520184.28,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,523699.47,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,527212.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,530724.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,534237.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,537749.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,541262.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,544775.06,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,548287.56,0.00,0.04,12.00,0.00,-1.22,-0.55
-14.33,-13.72,551800.06,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,555312.69,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,558825.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,562337.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,565850.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,569363.00,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,572875.50,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,576388.00,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,579900.63,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,583413.13,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,586925.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,590438.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,593950.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,597463.25,0.00,0.04,7.00,0.00,-1.22,-0.55
-14.33,-13.72,600975.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,604488.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,608000.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,611513.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,615025.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,618538.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,622050.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,625563.56,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,629076.13,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,632588.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,636101.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,639613.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,643126.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,646638.81,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,650151.31,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,653663.88,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,657176.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,660689.00,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,664201.50,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,667714.00,0.00,0.04,2.00,0.00,-1.22,-0.55
-14.33,-13.72,671226.50,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,674739.13,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,678251.63,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,681764.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,685276.75,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,688789.25,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,692301.88,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,695814.38,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,699326.88,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,702839.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,706351.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,709864.44,0.00,0.04,8.00,0.00,-1.22,-0.55
-14.33,-13.72,713376.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,716889.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,720401.94,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,723914.44,0.00,0.04,0.00,0.00,-1.22,-0.55
-14.33,-13.72,727426.94,0.00,0.04,0.00,0.00,-1.22,-0.55
