raw_hand_torque,transducer_byte,sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,command_fork,command_hand
,819,,0.00000,0.00475,0.00730,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00483,0.01034,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00493,0.00721,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00500,0.00901,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00509,0.01030,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00519,0.00874,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00527,0.01082,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00538,0.00678,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00545,0.00467,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00549,0.00851,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00557,0.00905,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00566,0.00988,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00576,0.00992,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00586,0.00565,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00591,0.00788,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00599,0.00803,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00606,0.00663,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00613,0.00855,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00621,0.01022,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.00631,0.00784,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00639,0.00984,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,815,,0.00000,0.00648,0.00909,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.00657,0.00717,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00664,0.00765,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00671,0.00615,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00677,0.00799,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00685,0.00776,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,827,,0.00000,0.00692,0.00603,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00698,0.00815,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.00706,0.00772,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00713,0.00999,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.00723,0.00667,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.00729,0.00780,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.00736,0.01180,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00748,0.00823,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00756,0.00866,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00764,0.00913,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.00773,0.00995,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00782,0.00662,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00788,0.01117,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00799,0.00749,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00806,0.00788,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00814,0.00796,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,826,,0.00000,0.00821,0.00671,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,815,,0.00000,0.00827,0.00870,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00836,0.01011,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00845,0.01219,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00857,0.00991,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00866,0.01074,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.00876,0.01015,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00886,0.00854,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00894,0.00478,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00898,0.00886,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,810,,0.00000,0.00907,0.00995,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00916,0.00893,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
