0  0  0 - 0.00  0.00 - 0.19  0.19 - 0.00
0  0  0 - 0.00  0.00 - 0.38  0.38 - 0.00
0  0  0 - 0.00  0.00 - 0.58  0.58 - 0.00
0  0  0 - 0.00  0.00 - 0.77  0.77 - 0.00
0  0  0 - 0.00  0.00 - 0.96  0.96 - 0.00
0  0  0 - 0.00  0.00 - 1.15  1.15 - 0.00
0  0  0 - 0.00  0.00 - 1.34  1.34 - 0.00
0  0  0 - 0.00  0.00 - 1.54  1.54 - 0.00
0  0  0 - 0.00  0.00 - 1.73  1.73 - 0.00
0  0  0 - 0.00  0.00 - 1.92  1.92 - 0.00
0  0  0 - 0.00  0.00 - 2.11  2.11 - 0.00
0  0  0 - 0.00  0.00 - 2.30  2.30 - 0.00
0  0  0 - 0.00  0.00 - 2.50  2.50 - 0.00
0  0  0 - 0.00  0.00 - 2.69  2.69 - 0.00
0  0  0 - 0.00  0.00 - 2.88  2.88 - 0.00
0  0  0 - 0.00  0.00 - 3.07  3.07 - 0.00
0  0  0 - 0.00  0.00 - 3.26  3.26 - 0.00
0  0  0 - 0.00  0.00 - 3.46  3.46 - 0.00
0  0  0 - 0.00  0.00 - 3.65  3.65 - 0.00
0  0  0 - 0.00  0.00 - 3.84  3.84 - 0.00
0  0  0 - 0.00  0.00 - 4.03  4.03 - 0.00
0  0  0 - 0.00  0.00 - 4.22  4.22 - 0.00
0  0  0 - 0.00  0.00 - 4.42  4.42 - 0.00
0  0  0 - 0.00  0.00 - 4.61  4.61 - 0.00
0  0  0 - 0.00  0.00 - 4.80  4.80 - 0.00
0  0  0 - 0.00  0.00 - 4.99  4.99 - 0.00
0  0  0 - 0.00  0.00 - 5.18  5.18 - 0.00
0  0  0 - 0.00  0.00 - 5.38  5.38 - 0.00
0  0  0 - 0.00  0.00 - 5.57  5.57 - 0.00
0  0  0 - 0.00  0.00 - 5.76  5.76 - 0.00
0  0  0 - 0.00  0.00 - 5.95  5.95 - 0.00
0  0  0 - 0.00  0.00 - 6.14  6.14 - 0.00
0  0  0 - 0.00  0.00 - 6.34  6.34 - 0.00
0  0  0 - 0.00  0.00 - 6.53  6.53 - 0.00
0  0  0 - 0.00  0.00 - 6.72  6.72 - 0.00
0  0  0 - 0.00  0.00 - 6.91  6.91 - 0.00
0  0  0 - 0.00  0.00 - 7.10  7.10 - 0.00
0  0  0 - 0.00  0.00 - 7.30  7.30 - 0.00
0  0  0 - 0.00  0.00 - 7.49  7.49 - 0.00
0  0  0 - 0.00  0.00 - 7.68  7.68 - 0.00
0  0  0 - 0.00  0.00 - 7.87  7.87 - 0.00
0  0  0 - 0.00  0.00 - 8.06  8.06 - 0.00
0  0  0 - 0.00  0.00 - 8.26  8.26 - 0.00
0  0  0 - 0.00  0.00 - 8.45  8.45 - 0.00
0  0  0 - 0.00  0.00 - 8.64  8.64 - 0.00
0  0  0 - 0.00  0.00 - 8.83  8.83 - 0.00
0  0  0 - 0.00  0.00 - 9.02  9.02 - 0.00
0  0  0 - 0.00  0.00 - 9.22  9.22 - 0.00
0  0  0 - 0.00  0.00 - 9.41  9.41 - 0.00
0  0  0 - 0.00  0.00 - 9.60  9.60 - 0.00
0  0  0 - 0.00  0.00 - 9.79  9.79 - 0.00
0  0  0 - 0.00  0.00 - 9.98  9.98 - 0.00
0  0  0 - 0.00  0.00 - 10.18  10.18 - 0.00
0  0  0 - 0.00  0.00 - 10.37  10.37 - 0.00
0  0  0 - 0.00  0.00 - 10.56  10.56 - 0.00
0  0  0 - 0.00  0.00 - 10.75  10.75 - 0.00
0  0  0 - 0.00  0.00 - 10.94  10.94 - 0.00
0  0  0 - 0.00  0.00 - 11.14  11.14 - 0.00
0  0  0 - 0.00  0.00 - 11.33  11.33 - 0.00
0  0  0 - 0.00  0.00 - 11.52  11.52 - 0.00
0  0  0 - 0.00  0.00 - 11.71  11.71 - 0.00
0  0  0 - 0.00  0.00 - 11.90  11.90 - 0.00
0  0  0 - 0.00  0.00 - 12.10  12.10 - 0.00
0  0  0 - 0.00  0.00 - 12.29  12.29 - 0.00
0  0  0 - 0.00  0.00 - 12.48  12.48 - 0.00
0  0  0 - 0.00  0.00 - 12.67  12.67 - 0.00
0  0  0 - 0.00  0.00 - 12.86  12.86 - 0.00
0  0  0 - 0.00  0.00 - 13.06  13.06 - 0.00
0  0  0 - 0.00  0.00 - 13.25  13.25 - 0.00
0  0  0 - 0.00  0.00 - 13.44  13.44 - 0.00
0  0  0 - 0.00  0.00 - 13.63  13.63 - 0.00
0  0  0 - 0.00  0.00 - 13.82  13.82 - 0.00
0  0  0 - 0.00  0.00 - 14.02  14.02 - 0.00
0  0  0 - 0.00  0.00 - 14.21  14.21 - 0.00
0  0  0 - 0.00  0.00 - 14.40  14.40 - 0.00
0  0  0 - 0.00  0.00 - 14.59  14.59 - 0.00
0  0  0 - 0.00  0.00 - 14.78  14.78 - 0.00
0  0  0 - 0.00  0.00 - 14.98  14.98 - 0.00
0  0  0 - 0.00  0.00 - 15.17  15.17 - 0.00
0  0  0 - 0.00  0.00 - 15.36  15.36 - 0.00
0  0  0 - 0.00  0.00 - 15.55  15.55 - 0.00
0  0  0 - 0.00  0.00 - 15.74  15.74 - 0.00
0  0  0 - 0.00  0.00 - 15.94  15.94 - 0.00
0  0  0 - 0.00  0.00 - 16.13  16.13 - 0.00
0  0  0 - 0.00  0.00 - 16.32  16.32 - 0.00
0  0  0 - 0.00  0.00 - 16.51  16.51 - 0.00
0  0  0 - 0.00  0.00 - 16.70  16.70 - 0.00
0  0  0 - 0.00  0.00 - 16.90  16.90 - 0.00
0  0  0 - 0.00  0.00 - 17.09  17.09 - 0.00
0  0  0 - 0.00  0.00 - 17.28  17.28 - 0.00
0  0  0 - 0.00  0.00 - 17.47  17.47 - 0.00
0  0  0 - 0.00  0.00 - 17.66  17.66 - 0.00
0  0  0 - 0.00  0.00 - 17.86  17.86 - 0.00
0  0  0 - 0.00  0.00 - 18.05  18.05 - 0.00
0  0  0 - 0.00  0.00 - 18.24  18.24 - 0.00
0  0  0 - 0.00  0.00 - 18.43  18.43 - 0.00
0  0  0 - 0.00  0.00 - 18.62  18.62 - 0.00
0  0  0 - 0.00  0.00 - 18.82  18.82 - 0.00
0  0  0 - 0.00  0.00 - 19.01  19.01 - 0.00
0  0  0 - 0.00  0.00 - 19.20  19.20 - 0.00
0  0  0 - 0.00  0.00 - 19.39  19.39 - 0.00
0  0  0 - 0.00  0.00 - 19.58  19.58 - 0.00
0  0  0 - 0.00  0.00 - 19.78  19.78 - 0.00
0  0  0 - 0.00  0.00 - 19.97  19.97 - 0.00
0  0  0 - 0.00  0.00 - 20.16  20.16 - 0.00
0  0  0 - 0.00  0.00 - 20.35  20.35 - 0.00
0  0  0 - 0.00  0.00 - 20.54  20.54 - 0.00
0  0  0 - 0.00  0.00 - 20.74  20.74 - 0.00
0  0  0 - 0.00  0.00 - 20.93  20.93 - 0.00
0  0  0 - 0.00  0.00 - 21.12  21.12 - 0.00
0  0  0 - 0.00  0.00 - 21.31  21.31 - 0.00
0  0  0 - 0.00  0.00 - 21.50  21.50 - 0.00
0  0  0 - 0.00  0.00 - 21.70  21.70 - 0.00
0  0  0 - 0.00  0.00 - 21.89  21.89 - 0.00
0  0  0 - 0.00  0.00 - 22.08  22.08 - 0.00
0  0  0 - 0.00  0.00 - 22.27  22.27 - 0.00
0  0  0 - 0.00  0.00 - 22.46  22.46 - 0.00
0  0  0 - 0.00  0.00 - 22.66  22.66 - 0.00
0  0  0 - 0.00  0.00 - 22.85  22.85 - 0.00
0  0  0 - 0.00  0.00 - 23.04  23.04 - 0.00
0  0  0 - 0.00  0.00 - 23.23  23.23 - 0.00
0  0  0 - 0.00  0.00 - 23.42  23.42 - 0.00
0  0  0 - 0.00  0.00 - 23.62  23.62 - 0.00
0  0  0 - 0.00  0.00 - 23.81  23.81 - 0.00
0  0  0 - 0.00  0.00 - 24.00  24.00 - 0.00
0  0  0 - 0.00  0.00 - 24.19  24.19 - 0.00
0  0  0 - 0.00  0.00 - 24.38  24.38 - 0.00
0  0  0 - 0.00  0.00 - 24.58  24.58 - 0.00
0  0  0 - 0.00  0.00 - 24.77  24.77 - 0.00
0  0  0 - 0.00  0.00 - 24.96  24.96 - 0.00
0  0  0 - 0.00  0.00 - 25.15  25.15 - 0.00
0  0  0 - 0.00  0.00 - 25.34  25.34 - 0.00
0  0  0 - 0.00  0.00 - 25.54  25.54 - 0.00
0  0  0 - 0.00  0.00 - 25.73  25.73 - 0.00
0  0  0 - 0.00  0.00 - 25.92  25.92 - 0.00
0  0  0 - 0.00  0.00 - 26.11  26.11 - 0.00
0  0  0 - 0.00  0.00 - 26.30  26.30 - 0.00
0  0  0 - 0.00  0.00 - 26.50  26.50 - 0.00
0  0  0 - 0.00  0.00 - 26.69  26.69 - 0.00
0  0  0 - 0.00  0.00 - 26.88  26.88 - 0.00
0  0  0 - 0.00  0.00 - 27.07  27.07 - 0.00
0  0  0 - 0.00  0.00 - 27.26  27.26 - 0.00
0  0  0 - 0.00  0.00 - 27.46  27.46 - 0.00
0  0  0 - 0.00  0.00 - 27.65  27.65 - 0.00
0  0  0 - 0.00  0.00 - 27.84  27.84 - 0.00
0  0  0 - 0.00  0.00 - 28.03  28.03 - 0.00
0  0  0 - 0.00  0.00 - 28.22  28.22 - 0.00
0  0  0 - 0.00  0.00 - 28.42  28.42 - 0.00
0  0  0 - 0.00  0.00 - 28.61  28.61 - 0.00
0  0  0 - 0.00  0.00 - 28.80  28.80 - 0.00
0  0  0 - 0.00  0.00 - 28.99  28.99 - 0.00
0  0  0 - 0.00  0.00 - 29.18  29.18 - 0.00
0  0  0 - 0.00  0.00 - 29.38  29.38 - 0.00
0  0  0 - 0.00  0.00 - 29.57  29.57 - 0.00
0  0  0 - 0.00  0.00 - 29.76  29.76 - 0.00
0  0  0 - 0.00  0.00 - 29.95  29.95 - 0.00
0  0  0 - 0.00  0.00 - 30.14  30.14 - 0.00
0  0  0 - 0.00  0.00 - 30.34  30.34 - 0.00
0  0  0 - 0.00  0.00 - 30.53  30.53 - 0.00
0  0  0 - 0.00  0.00 - 30.72  30.72 - 0.00
0  0  0 - 0.00  0.00 - 30.91  30.91 - 0.00
0  0  0 - 0.00  0.00 - 31.10  31.10 - 0.00
0  0  0 - 0.00  0.00 - 31.30  31.30 - 0.00
0  0  0 - 0.00  0.00 - 31.49  31.49 - 0.00
0  0  0 - 0.00  0.00 - 31.68  31.68 - 0.00
0  0  0 - 0.00  0.00 - 31.87  31.87 - 0.00
0  0  0 - 0.00  0.00 - 32.06  32.06 - 0.00
0  0  0 - 0.00  0.00 - 32.26  32.26 - 0.00
0  0  0 - 0.00  0.00 - 32.45  32.45 - 0.00
0  0  0 - 0.00  0.00 - 32.64  32.64 - 0.00
0  0  0 - 0.00  0.00 - 32.83  32.83 - 0.00
0  0  0 - 0.00  0.00 - 33.02  33.02 - 0.00
0  0  0 - 0.00  0.00 - 33.22  33.22 - 0.00
0  0  0 - 0.00  0.00 - 33.41  33.41 - 0.00
0  0  0 - 0.00  0.00 - 33.60  33.60 - 0.00
0  0  0 - 0.00  0.00 - 33.79  33.79 - 0.00
0  0  0 - 0.00  0.00 - 33.98  33.98 - 0.00
0  0  0 - 0.00  0.00 - 34.18  34.18 - 0.00
0  0  0 - 0.00  0.00 - 34.37  34.37 - 0.00
0  0  0 - 0.00  0.00 - 34.56  34.56 - 0.00
0  0  0 - 0.00  0.00 - 34.75  34.75 - 0.00
0  0  0 - 0.00  0.00 - 34.94  34.94 - 0.00
0  0  0 - 0.00  0.00 - 35.14  35.14 - 0.00
0  0  0 - 0.00  0.00 - 35.33  35.33 - 0.00
0  0  0 - 0.00  0.00 - 35.52  35.52 - 0.00
0  0  0 - 0.00  0.00 - 35.71  35.71 - 0.00
0  0  0 - 0.00  0.00 - 35.90  35.90 - 0.00
0  0  0 - 0.00  0.00 - 36.10  36.10 - 0.00
0  0  0 - 0.00  0.00 - 36.29  36.29 - 0.00
0  0  0 - 0.00  0.00 - 36.48  36.48 - 0.00
0  0  0 - 0.00  0.00 - 36.67  36.67 - 0.00
0  0  0 - 0.00  0.00 - 36.86  36.86 - 0.00
0  0  0 - 0.00  0.00 - 37.06  37.06 - 0.00
0  0  0 - 0.00  0.00 - 37.25  37.25 - 0.00
0  0  0 - 0.00  0.00 - 37.44  37.44 - 0.00
0  0  0 - 0.00  0.00 - 37.63  37.63 - 0.00
0  0  0 - 0.00  0.00 - 37.82  37.82 - 0.00
0  0  0 - 0.00  0.00 - 38.02  38.02 - 0.00
0  0  0 - 0.00  0.00 - 38.21  38.21 - 0.00
0  0  0 - 0.00  0.00 - 38.40  38.40 - 0.00
0  0  0 - 0.00  0.00 - 38.59  38.59 - 0.00
0  0  0 - 0.00  0.00 - 38.78  38.78 - 0.00
0  0  0 - 0.00  0.00 - 38.98  38.98 - 0.00
0  0  0 - 0.00  0.00 - 39.17  39.17 - 0.00
0  0  0 - 0.00  0.00 - 39.36  39.36 - 0.00
0  0  0 - 0.00  0.00 - 39.55  39.55 - 0.00
0  0  0 - 0.00  0.00 - 39.74  39.74 - 0.00
0  0  0 - 0.00  0.00 - 39.94  39.94 - 0.00
0  0  0 - 0.00  0.00 - 40.13  40.13 - 0.00
0  0  0 - 0.00  0.00 - 40.32  40.32 - 0.00
0  0  0 - 0.00  0.00 - 40.51  40.51 - 0.00
0  0  0 - 0.00  0.00 - 40.70  40.70 - 0.00
0  0  0 - 0.00  0.00 - 40.90  40.90 - 0.00
0  0  0 - 0.00  0.00 - 41.09  41.09 - 0.00
0  0  0 - 0.00  0.00 - 41.28  41.28 - 0.00
0  0  0 - 0.00  0.00 - 41.47  41.47 - 0.00
